size;time1;time2;time3;time4;time5
1;4;4;4;4;4
2;8;8;9;8;8
3;8;8;8;9;8
4;12;12;12;12;12
5;12;12;12;13;17
7;15;13;17;13;17
9;20;19;19;19;19
11;19;19;21;22;22
14;22;22;22;22;22
17;26;25;25;25;25
21;26;28;26;28;29
26;26;30;26;25;25
32;31;31;31;31;31
39;31;31;31;31;31
47;32;37;34;35;36
57;32;32;32;33;36
69;43;43;43;43;43
83;48;46;43;43;43
100;44;44;39;37;36
121;37;36;36;40;49
146;44;43;43;44;42
176;42;42;42;43;42
212;43;43;49;46;48
255;49;49;49;46;43
307;60;58;59;63;59
369;60;59;62;64;61
443;62;61;59;63;60
532;63;65;64;63;64
639;71;71;61;63;69
767;69;62;67;72;59
921;60;60;59;60;60
1106;55;56;74;64;64
1328;66;56;57;58;59
1594;77;59;55;53;55
1913;55;60;55;55;55
2296;55;58;58;59;59
2756;60;60;60;60;59
3308;60;60;60;60;60
3970;60;60;60;62;64
4765;64;64;65;64;65
5719;64;64;71;61;59
6863;61;58;59;59;59
8236;64;83;72;62;62
9884;63;62;62;65;72
11861;71;62;62;62;62
14234;63;62;62;62;62
17081;66;66;66;66;66
20498;67;68;66;66;69
24598;71;71;71;72;82
29518;71;71;72;72;75
35422;77;88;77;76;76
42507;76;76;76;81;77
51009;77;76;76;76;78
61211;82;76;76;76;77
73454;81;98;90;89;89
88145;74;73;89;84;87
105775;88;89;86;79;80
126931;78;73;73;74;79
152318;77;77;77;78;82
182782;82;79;93;77;78
219339;101;86;77;77;81
263207;83;89;93;87;88
315849;89;79;81;82;108
379019;98;80;80;80;87
454823;81;89;96;97;84
