size;time1;time2;time3;time4;time5
1000;0;0;0;0;0
2000;1;1;1;1;1
3000;2;2;2;2;2
4000;3;3;3;3;3
5000;3;4;3;4;3
6000;4;4;4;4;4
7000;5;5;5;5;5
8000;6;6;6;6;6
9000;7;7;7;7;7
10000;7;7;7;7;7
11000;8;8;8;8;8
12000;9;9;9;9;9
13000;10;10;10;10;11
14000;11;11;11;11;11
15000;11;12;11;12;11
16000;12;12;12;13;12
17000;13;13;13;13;13
18000;14;14;15;15;14
19000;15;15;15;15;15
20000;15;16;16;15;16
21000;16;16;16;16;16
22000;17;17;17;17;17
23000;18;18;18;18;18
24000;19;19;19;19;19
25000;20;19;20;20;20
26000;20;20;20;20;20
27000;21;21;21;21;21
28000;22;23;22;23;22
29000;24;23;23;23;23
30000;24;23;24;23;23
31000;24;24;24;24;24
32000;25;25;25;25;25
33000;26;26;26;26;26
34000;27;27;27;27;27
35000;28;27;28;28;28
36000;28;29;29;30;30
37000;30;30;30;30;30
38000;31;31;31;31;32
39000;32;32;32;32;32
40000;33;33;33;38;33
41000;34;34;34;34;34
42000;35;35;35;35;35
43000;36;36;36;36;35
44000;37;37;37;37;37
45000;37;37;38;38;37
46000;38;38;38;38;38
47000;40;40;39;39;39
48000;38;38;38;38;38
49000;39;39;39;39;39
50000;40;40;40;41;42
51000;42;43;42;42;42
52000;43;43;43;44;44
53000;44;44;44;44;44
54000;45;45;45;45;45
55000;46;46;46;46;46
56000;47;47;47;46;45
57000;48;45;45;45;45
58000;46;46;46;46;47
59000;49;49;49;50;53
60000;49;48;48;50;51
61000;50;48;48;48;48
62000;50;50;51;52;52
63000;53;53;53;53;53
64000;54;54;54;54;53
65000;52;52;52;52;52
66000;53;52;53;54;53
67000;53;54;53;53;53
68000;55;54;55;54;54
69000;55;55;55;55;55
70000;56;56;56;56;56
71000;57;57;57;57;57
72000;58;59;60;60;63
73000;62;62;61;62;62
74000;63;63;69;60;59
75000;62;63;63;63;63
76000;64;64;65;64;64
77000;65;65;65;65;65
78000;66;66;66;66;66
79000;67;67;64;63;63
80000;64;65;64;64;65
81000;66;65;68;68;69
82000;70;70;69;70;69
83000;71;70;70;70;73
84000;72;71;69;71;72
85000;71;72;72;72;72
86000;74;74;73;73;70
87000;87;73;73;72;74
88000;81;84;74;71;72
89000;75;75;75;75;76
90000;79;77;77;77;74
91000;75;77;77;77;77
92000;79;78;79;78;90
93000;85;89;88;106;93
94000;85;81;90;107;107
95000;100;84;82;82;82
96000;85;128;78;89;86
97000;84;84;84;84;84
98000;86;85;91;83;84
99000;85;91;100;93;86
100000;94;91;83;86;87
101000;87;87;87;93;90
102000;89;93;90;93;84
103000;84;88;83;84;87
104000;89;90;97;99;102
105000;98;90;91;101;107
106000;95;86;89;101;90
107000;93;105;136;138;111
108000;133;105;144;145;100
109000;100;92;97;96;94
110000;95;96;97;93;90
111000;95;96;98;94;104
112000;106;97;97;130;122
113000;107;112;138;97;124
114000;120;104;109;107;102
115000;108;103;99;100;96
116000;99;103;94;94;94
117000;94;95;95;97;103
118000;108;113;110;104;103
119000;96;96;100;103;106
120000;107;106;117;107;110
121000;115;109;106;109;105
122000;107;109;176;114;114
123000;104;106;120;125;112
124000;111;109;110;107;107
125000;109;102;105;111;110
126000;115;116;114;110;109
127000;105;103;103;121;133
128000;136;136;139;137;141
129000;139;135;133;129;131
130000;131;135;133;131;132
131000;138;136;136;139;149
132000;146;138;138;134;139
133000;135;134;132;130;130
134000;131;131;127;128;142
135000;137;135;138;149;169
136000;162;162;153;158;158
137000;154;150;156;160;163
138000;158;201;205;234;318
139000;300;330;236;193;168
140000;159;151;146;139;137
141000;144;142;144;146;144
142000;150;150;149;148;143
143000;143;146;151;141;141
144000;147;156;156;154;148
145000;145;148;148;146;144
146000;142;133;133;141;158
147000;151;148;145;144;141
148000;148;144;141;141;141
149000;144;143;143;141;138
150000;139;142;140;143;144
