size;time1;time2;time3;time4;time5
1;6;5;5;4;4
1;5;5;4;4;4
1;4;4;4;4;4
1;4;4;4;6;5
1;4;4;5;6;6
1;8;8;8;6;4
1;4;4;7;7;8
1;9;10;8;8;6
1;5;4;4;4;4
1;4;4;4;4;4
1;4;4;8;5;5
1;5;5;5;4;4
1;4;4;4;5;5
1;5;5;5;5;5
1;5;5;6;7;5
1;5;5;5;5;5
1;5;5;5;5;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;5;5;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;5;4;4;4
1;4;4;4;4;4
1;4;5;4;4;5
1;4;5;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;5;4
1;4;4;4;4;4
1;4;5;5;5;5
1;5;5;4;4;4
1;4;4;4;4;4
1;4;4;4;5;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
1;4;4;4;4;4
