size;time1;time2;time3;time4;time5
1000;8;8;8;8;8
1100;9;8;9;9;9
1200;10;10;10;9;9
1300;11;11;11;11;11
1400;12;11;11;11;11
1500;12;12;12;12;12
1600;12;13;12;13;13
1700;14;13;15;14;14
1800;15;14;15;14;14
1900;15;15;15;15;15
2000;16;16;16;16;16
2100;17;16;17;17;17
2200;17;17;17;17;17
2300;18;18;18;18;18
2400;20;19;19;19;19
2500;20;20;20;20;20
2600;21;21;21;21;22
2700;22;22;22;22;23
2800;23;23;23;22;22
2900;23;23;23;23;23
3000;28;24;24;24;24
3100;25;25;25;25;25
3200;26;26;25;25;25
3300;26;26;26;26;26
3400;27;27;27;27;27
3500;28;28;28;28;28
3600;29;29;29;29;30
3700;31;31;35;31;31
3800;32;32;32;32;31
3900;31;31;31;31;31
4000;32;32;32;33;33
4100;34;34;34;34;35
4200;35;35;34;34;34
4300;34;35;34;34;34
4400;35;35;36;35;35
4500;37;37;37;38;38
4600;38;39;39;39;39
4700;39;39;39;39;40
4800;40;40;39;39;40
4900;41;41;41;41;41
5000;42;42;42;42;41
5100;41;42;41;41;41
5200;42;42;42;43;43
5300;44;45;45;45;45
5400;46;46;46;46;46
5500;46;49;45;45;44
5600;47;48;47;47;47
5700;48;48;48;48;48
5800;49;49;47;47;46
5900;47;47;47;47;47
6000;48;48;48;48;49
6100;49;50;52;51;51
6200;52;52;52;52;53
6300;56;52;53;53;53
6400;54;53;52;51;51
6500;52;52;52;52;52
6600;54;53;53;53;53
6700;54;54;54;56;56
6800;55;55;55;55;55
6900;55;55;56;58;56
7000;56;56;56;56;56
7100;57;59;57;57;57
7200;58;58;58;63;58
7300;59;59;59;59;60
7400;62;62;59;60;60
7500;63;63;63;63;63
7600;64;65;65;61;70
7700;62;62;62;62;62
7800;63;63;67;67;68
7900;69;64;64;64;64
8000;64;64;64;64;64
8100;65;65;65;65;66
8200;66;68;67;66;66
8300;68;67;67;68;68
8400;68;68;68;68;68
8500;68;69;69;68;68
8600;70;69;70;69;69
8700;71;70;71;70;70
8800;71;73;71;87;71
8900;72;72;72;72;72
9000;75;75;73;73;72
9100;73;73;73;73;73
9200;74;74;77;80;83
9300;86;89;93;95;96
9400;100;100;103;103;104
9500;108;108;108;108;107
9600;109;109;109;110;109
9700;111;110;129;110;110
9800;111;111;111;111;111
9900;116;113;114;113;116
10000;117;117;118;113;113
