size;time1;time2;time3;time4;time5
1000;1;1;1;1;2
1020;2;2;2;2;2
1040;1;2;1;1;1
1061;1;1;1;1;1
1082;1;1;1;1;1
1104;1;1;1;1;1
1126;1;1;1;1;1
1148;1;2;2;2;2
1171;2;1;1;1;1
1194;1;2;2;1;1
1218;1;1;1;1;1
1242;1;1;2;2;2
1267;3;2;2;2;2
1292;2;2;2;2;2
1318;2;2;2;2;2
1344;2;2;3;3;3
1371;3;3;3;3;2
1398;2;2;2;2;2
1426;2;2;2;2;2
1455;2;2;3;3;2
1484;3;3;3;3;3
1514;3;3;4;4;4
1544;4;4;4;3;3
1575;3;3;3;2;2
1607;3;3;2;3;3
1639;3;3;3;3;3
1672;3;3;3;3;3
1706;3;3;3;3;3
1740;3;3;3;3;3
1775;3;4;5;6;4
1811;4;3;5;20;4
1847;4;4;4;4;4
1884;5;5;5;4;5
1922;5;5;5;5;5
1961;5;5;5;5;5
2001;5;5;5;5;5
2041;5;5;5;5;5
2082;6;6;6;6;6
2124;6;6;6;6;6
2167;6;6;6;6;6
2211;7;7;7;7;7
2256;7;7;7;7;7
2302;7;7;7;7;7
