size;time
100;0
200;0
300;0
400;0
500;0
600;0
700;0
800;0
900;0
1000;0
1100;0
1200;0
1300;0
1400;0
1500;0
1600;0
1700;0
1800;0
1900;0
2000;0
2100;0
2200;0
2300;0
2400;0
2500;0
2600;0
2700;0
2800;0
2900;1
3000;0
3100;0
3200;1
3300;1
3400;1
3500;1
3600;1
3700;1
3800;1
3900;1
4000;1
4100;1
4200;1
4300;1
4400;1
4500;1
4600;1
4700;1
4800;1
4900;2
5000;1
5100;2
5200;2
5300;2
5400;2
5500;2
5600;2
5700;2
5800;1
5900;1
6000;1
6100;1
6200;2
6300;1
6400;1
6500;2
6600;5
6700;3
6800;4
6900;3
7000;3
7100;3
7200;3
7300;4
7400;3
7500;3
7600;3
7700;3
7800;3
7900;3
8000;3
8100;3
8200;3
8300;2
8400;2
8500;2
8600;2
8700;2
8800;3
8900;2
9000;2
9100;2
9200;4
9300;3
9400;3
9500;3
9600;3
9700;3
9800;3
9900;3
10000;2
10100;2
10200;3
10300;3
10400;3
10500;3
10600;3
10700;3
10800;3
10900;3
11000;3
11100;3
11200;3
11300;3
11400;3
11500;3
11600;3
11700;3
11800;34
11900;6
12000;10
12100;5
12200;6
12300;6
12400;6
12500;5
12600;5
12700;5
12800;4
12900;4
13000;4
13100;4
13200;4
13300;5
13400;4
13500;4
13600;3
13700;5
13800;4
13900;4
14000;6
14100;5
14200;5
14300;6
14400;5
14500;6
14600;6
14700;4
14800;4
14900;5
15000;6
15100;5
15200;6
15300;6
15400;6
15500;5
15600;6
15700;5
15800;4
15900;4
16000;4
16100;4
16200;5
16300;5
16400;4
16500;4
16600;4
16700;4
16800;4
16900;5
17000;6
17100;5
17200;6
17300;5
17400;6
17500;5
17600;6
17700;6
17800;4
17900;4
18000;4
18100;4
18200;4
18300;5
18400;4
18500;4
18600;5
18700;4
18800;4
18900;5
19000;4
19100;5
19200;6
19300;4
19400;4
19500;5
19600;6
19700;6
19800;5
19900;5
20000;5
20100;5
20200;5
20300;5
20400;5
20500;5
20600;5
20700;6
20800;5
20900;5
21000;5
21100;5
21200;6
21300;5
21400;5
21500;5
21600;5
