size;time1;time2;time3;time4;time5;time6;time7;time8;time9;time10;time11;time12;time13;time14;time15;time16;time17;time18;time19;time20;time21;time22;time23;time24;time25
10000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30000;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
40000;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
50000;2;1;1;1;1;3;2;1;2;2;3;2;2;2;2;2;1;1;1;1;2;2;2;2;3
60000;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
70000;3;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2;2;2;3;2;2;2;3;2
80000;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2
90000;3;3;3;3;3;4;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3
100000;3;3;3;3;4;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
110000;4;3;3;4;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;4;3;4;3;4
120000;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4
130000;5;5;5;5;4;4;7;4;4;4;5;4;6;5;5;5;5;5;5;5;3;4;5;5;5
140000;4;4;4;5;4;5;4;4;5;5;4;4;4;4;4;4;4;4;5;4;5;5;5;4;4
150000;4;5;4;5;7;5;5;5;5;4;4;5;5;5;5;5;5;4;5;4;4;4;4;4;4
160000;5;4;4;5;5;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;5;5;5;5
170000;5;5;5;5;6;5;6;6;5;6;6;6;5;5;5;6;5;5;5;5;6;6;6;7;6
180000;5;6;6;6;7;7;8;8;9;6;7;7;7;6;6;6;6;6;6;6;6;6;8;6;5
190000;6;6;6;6;6;5;6;6;7;6;5;6;10;6;5;7;6;7;6;6;5;5;5;8;8
200000;6;7;7;6;6;6;7;7;6;7;7;6;7;7;6;6;6;6;6;7;7;8;7;6;7
210000;7;6;6;6;7;8;10;6;8;6;6;7;8;6;7;6;6;7;7;7;7;6;6;6;6
220000;7;7;7;7;8;7;7;7;7;7;7;7;7;8;7;7;7;7;7;6;7;8;7;7;7
230000;7;7;8;7;7;6;7;7;7;7;9;8;7;6;7;7;8;7;8;8;7;7;7;7;7
240000;7;8;9;9;9;8;8;8;8;8;7;8;17;9;8;9;16;15;14;9;8;10;10;10;9
250000;10;9;9;35;9;9;9;8;12;10;10;15;16;7;7;8;8;8;9;9;9;8;9;10;8
260000;7;8;7;23;8;8;19;8;8;8;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9
270000;9;8;10;7;8;8;9;9;10;9;13;8;9;16;8;8;8;9;9;8;9;8;8;9;8
280000;9;8;8;8;8;9;9;10;9;9;10;8;9;10;10;10;10;9;9;20;9;9;9;9;9
290000;11;9;10;9;9;9;8;9;9;8;9;9;9;9;9;8;8;9;9;9;9;8;9;8;9
300000;9;8;8;10;9;10;18;9;9;9;9;11;8;8;9;8;10;10;10;10;9;9;15;16;9
310000;11;11;10;12;12;9;9;10;10;9;8;9;9;9;10;9;9;9;9;9;11;10;11;11;10
320000;12;11;12;12;11;12;11;11;11;11;11;11;9;10;9;11;11;10;10;11;10;11;9;9;9
330000;17;14;12;12;12;11;10;11;11;9;10;10;11;10;10;9;13;11;9;9;10;10;11;11;26
340000;20;17;12;12;12;11;12;15;12;12;12;10;10;10;11;10;10;10;10;11;12;11;11;13;14
350000;11;10;13;10;16;15;13;12;13;12;12;10;10;11;24;10;10;11;12;11;12;10;11;13;10
360000;12;12;12;12;11;12;11;11;11;12;12;13;13;11;13;11;16;11;12;11;11;13;10;12;13
370000;14;13;12;12;12;13;13;13;13;13;13;12;13;14;13;13;63;13;14;12;12;11;13;14;14
380000;12;12;11;12;12;13;25;21;14;17;13;13;13;12;13;14;14;11;13;12;12;14;14;15;12
390000;13;15;14;14;14;12;12;12;16;14;13;11;12;24;11;14;16;14;15;13;14;15;12;13;15
400000;11;11;11;11;16;14;24;11;12;12;15;13;13;12;12;16;12;13;20;12;12;12;14;13;12
410000;13;12;12;12;12;11;12;12;12;15;12;14;16;15;12;14;14;14;12;14;16;12;12;12;14
420000;12;12;16;16;13;12;14;12;13;13;13;13;12;14;13;14;13;12;12;12;12;13;12;14;15
430000;14;12;13;16;16;17;15;13;13;13;14;13;15;14;14;13;16;14;13;13;13;13;25;12;13
440000;17;16;13;13;16;15;15;17;13;13;14;13;14;15;15;17;15;15;13;12;13;12;13;14;13
450000;13;13;14;16;15;16;15;18;14;15;18;20;16;15;13;13;16;19;13;14;13;13;13;15;15
460000;19;17;14;15;58;14;16;18;15;15;17;17;16;16;13;14;13;13;15;14;16;16;13;16;15
470000;17;17;17;15;16;16;16;18;14;16;22;16;17;17;18;16;18;14;17;14;16;14;14;16;15
480000;14;14;13;16;17;16;18;16;16;17;16;16;14;14;26;22;16;17;13;14;14;15;14;14;14
490000;17;18;17;17;16;17;18;17;17;17;15;19;21;19;14;17;17;18;18;15;14;16;17;14;14
500000;14;18;19;16;14;14;17;17;27;18;17;14;17;17;18;17;14;16;14;19;14;14;14;14;15
510000;17;16;15;15;15;15;15;18;18;16;15;18;17;16;16;16;18;18;16;14;14;14;14;15;17
520000;18;15;18;52;17;15;17;16;15;18;16;19;16;21;20;15;19;19;18;37;16;25;31;15;35
530000;22;15;15;18;27;15;14;14;17;15;16;19;18;18;19;16;18;20;15;15;20;15;19;19;17
540000;16;16;16;15;20;20;18;20;16;20;18;18;19;19;16;16;18;18;23;20;19;15;15;16;17
550000;16;16;16;19;19;16;19;20;18;16;16;17;18;19;23;20;40;19;16;16;19;19;16;16;15
560000;21;20;20;20;15;18;19;21;21;16;16;16;21;20;17;32;23;19;19;17;19;20;19;20;19
570000;17;21;22;24;21;22;17;21;20;19;19;21;20;19;18;16;16;20;18;42;20;18;19;17;17
580000;20;18;17;16;17;23;22;20;21;38;18;25;17;17;18;21;16;19;19;17;22;19;16;20;17
590000;20;22;18;21;21;23;17;17;18;20;20;22;16;17;17;17;17;19;16;19;19;20;17;17;16
600000;16;17;16;19;20;21;20;21;20;21;20;20;20;19;16;17;17;16;16;20;17;17;17;17;17
610000;21;19;22;17;17;18;17;17;16;17;17;17;16;17;17;18;23;21;17;21;21;21;21;23;37
620000;18;23;18;17;21;21;22;18;17;17;17;18;18;18;19;18;21;22;23;69;28;22;19;24;24
630000;22;22;22;20;22;24;17;21;21;18;17;18;17;20;21;22;21;21;22;17;34;21;19;18;40
640000;22;20;18;20;20;25;23;18;18;19;19;19;23;21;23;19;21;23;24;22;18;18;18;19;22
650000;19;25;17;21;22;22;19;17;19;18;24;21;21;19;21;22;24;23;19;22;22;22;23;23;23
660000;19;19;21;20;22;24;21;25;21;20;19;25;20;22;32;19;23;23;23;21;23;20;231;22;19
670000;22;20;20;19;19;19;20;19;23;20;20;26;24;26;26;24;23;22;19;23;38;41;23;27;24
680000;20;24;25;21;22;23;22;24;20;24;31;25;20;27;23;26;24;22;22;20;24;20;20;20;20
690000;23;20;21;21;20;22;26;20;25;19;26;22;24;25;24;22;24;19;26;19;19;26;20;24;24
700000;27;25;27;21;26;21;25;25;26;27;26;20;22;21;29;25;23;22;26;25;23;25;20;20;21
710000;27;25;45;38;22;24;22;22;24;23;23;23;26;25;24;41;26;26;22;24;25;22;22;22;22
720000;26;26;25;24;25;21;28;26;27;23;25;24;25;25;27;26;25;23;24;27;21;20;22;23;25
730000;24;22;22;28;21;22;22;46;26;27;26;25;25;31;24;23;22;21;27;21;21;25;23;26;22
740000;22;22;29;25;25;22;22;22;26;25;20;24;24;26;21;21;24;20;38;21;21;25;24;23;24
750000;29;26;25;24;22;24;28;28;27;32;26;25;26;27;26;26;28;26;27;27;27;27;26;21;26
760000;23;27;22;22;21;30;31;22;27;21;21;27;26;26;24;24;23;31;27;25;33;27;26;27;26
770000;26;30;27;27;26;24;25;24;24;24;28;34;25;28;26;24;24;24;26;27;23;28;26;25;28
780000;22;27;27;31;27;21;23;27;24;25;24;35;29;27;26;37;26;26;26;22;22;23;25;26;23
790000;31;28;28;28;27;26;27;26;26;26;25;28;28;33;26;29;28;42;30;28;26;25;25;27;26
800000;31;29;27;27;24;25;31;27;29;27;66;118;33;33;26;26;25;25;26;31;26;27;27;27;39
810000;31;28;29;25;30;29;30;26;30;25;25;31;38;29;29;22;22;23;22;22;24;29;26;22;23
820000;26;25;34;27;26;27;24;28;28;24;30;24;25;30;23;22;28;28;28;28;28;28;28;28;32
830000;29;27;24;35;29;28;28;25;26;25;27;30;30;33;30;26;28;26;31;28;29;31;25;23;29
840000;25;23;24;27;31;24;23;23;23;23;24;32;25;26;32;27;31;34;28;31;28;33;28;32;30
850000;29;28;29;29;26;29;34;30;38;23;23;28;30;23;33;24;25;33;30;28;29;26;30;32;29
860000;23;28;24;32;29;28;30;32;31;107;30;27;30;26;30;32;27;31;28;50;27;30;27;41;31
870000;32;31;30;30;30;30;32;31;31;31;30;34;32;29;31;29;30;28;27;27;28;30;34;29;29
880000;30;29;32;30;38;43;33;29;30;31;33;32;32;30;34;29;36;53;73;46;37;40;37;34;30
890000;30;30;43;28;31;32;27;30;27;34;28;33;42;28;28;28;33;32;32;33;30;27;34;29;28
900000;28;33;30;31;30;29;29;31;72;33;31;38;33;32;33;32;49;31;30;27;32;37;31;28;31
910000;33;57;33;32;37;33;31;30;31;28;27;28;26;31;27;27;26;33;26;28;28;28;31;29;30
920000;29;30;34;32;30;28;33;26;32;33;29;36;26;27;25;27;30;31;43;25;32;33;32;26;27
930000;34;27;25;34;50;27;26;28;29;31;36;33;40;33;33;31;30;33;28;33;29;28;26;28;34
940000;29;30;28;28;32;28;38;36;33;32;32;37;34;37;33;39;46;28;32;32;30;27;42;30;31
950000;28;32;33;33;35;75;43;58;30;30;32;31;33;36;31;34;36;30;30;31;35;31;31;43;33
960000;34;30;31;29;30;34;34;35;28;28;34;34;32;31;28;28;35;31;31;31;50;31;30;33;34
970000;28;29;29;35;30;35;33;28;34;27;27;29;34;43;29;29;31;34;33;51;35;32;34;33;33
980000;29;36;34;34;33;44;35;33;28;35;27;34;35;43;36;32;27;27;34;35;31;38;29;27;34
990000;46;35;29;35;35;38;27;28;27;35;35;34;34;29;29;34;29;30;29;29;28;35;34;35;27
1000000;29;30;29;28;35;34;28;28;27;29;29;30;34;35;46;34;35;28;29;30;30;29;29;29;30
