size;time1;time2;time3;time4;time5;time6;time7;time8;time9;time10
1000;11;10;10;10;10;10;10;10;10;10
1020;11;11;11;10;16;10;10;10;11;11
1040;11;11;11;11;11;11;11;11;11;11
1061;11;11;11;11;11;11;11;11;11;11
1082;11;11;11;11;11;11;11;11;11;11
1104;11;11;11;11;11;11;11;11;11;11
1126;12;12;12;12;12;13;12;12;12;12
1148;12;12;12;13;12;12;13;12;12;12
1171;14;13;13;13;13;13;13;13;13;13
1194;15;15;15;15;15;15;15;15;15;15
1218;15;15;15;15;15;15;17;15;15;15
1242;16;16;16;16;16;16;16;16;16;17
1267;16;16;16;16;17;16;16;16;16;16
1292;18;18;18;18;18;18;18;18;18;18
1318;20;20;20;21;20;20;20;20;20;20
1344;20;20;21;20;20;20;20;20;20;20
1371;22;23;22;22;22;22;22;22;24;22
1398;23;23;23;23;23;23;23;23;23;23
1426;24;23;23;23;23;23;23;24;23;23
1455;26;25;25;25;25;25;25;25;25;25
1484;26;26;26;26;26;26;58;26;26;27
1514;26;28;26;26;26;26;26;26;26;26
1544;27;27;27;27;27;27;27;27;27;27
1575;29;29;29;29;29;29;29;29;31;29
1607;32;32;32;32;32;33;32;32;32;32
1639;32;32;33;32;32;32;32;32;32;32
1672;33;33;33;33;33;33;33;33;34;33
1706;36;36;36;37;36;36;36;36;37;36
1740;36;90;44;36;36;36;36;36;36;36
1775;39;37;37;37;37;37;37;37;38;37
1811;40;40;40;40;40;40;40;40;40;40
1847;43;43;43;43;43;43;44;43;43;44
1884;46;46;46;46;46;47;46;46;46;47
1922;47;47;47;47;47;47;48;47;47;48
1961;48;48;48;50;48;48;49;48;48;48
2001;53;51;51;51;52;51;51;51;130;53
2041;56;55;55;55;55;55;56;55;55;56
2082;62;61;61;61;62;61;61;61;61;62
2124;63;62;62;62;62;62;62;63;63;62
2167;63;63;63;63;64;64;63;63;63;63
2211;67;65;64;64;64;64;64;65;65;64
2256;66;66;66;66;66;67;66;66;66;66
2302;67;67;67;67;67;67;67;68;68;67
2348;69;68;68;68;68;68;68;68;68;69
2395;74;73;73;73;73;72;72;72;73;72
2443;74;74;74;74;74;74;75;75;75;75
2492;76;76;75;76;75;75;75;75;75;76
2542;86;85;84;84;84;84;120;91;84;86
2593;88;88;88;88;88;89;89;88;88;88
2645;89;89;89;91;90;90;90;89;89;89
2698;94;94;94;95;95;95;94;94;94;94
2753;96;97;96;96;96;96;97;97;96;96
2809;98;98;99;151;98;98;98;98;98;100
2866;115;100;100;100;100;101;102;100;100;100
2924;106;107;106;106;106;107;107;106;106;106
2983;109;108;108;108;109;108;108;108;109;108
3043;114;115;113;113;114;114;113;113;145;136
3105;121;120;121;122;120;122;120;119;122;120
3168;122;122;124;122;122;123;125;116;120;116
3232;124;119;123;120;119;119;120;119;120;126
3297;128;126;172;131;131;132;131;132;133;126
3364;130;128;127;127;128;127;128;127;128;127
3432;148;141;142;141;142;141;142;141;142;141
3502;154;153;152;166;160;195;161;162;162;160
3573;183;180;181;181;179;180;180;179;180;181
3645;187;188;188;188;187;188;188;187;188;188
3719;192;191;192;192;192;191;192;202;191;192
3794;196;196;195;195;196;196;196;195;195;195
3871;191;191;191;190;190;191;194;191;191;191
3950;198;198;198;199;199;221;208;209;208;208
4030;217;218;217;217;217;217;218;217;216;216
4112;226;226;226;226;216;217;217;217;217;220
4195;242;236;235;235;235;247;246;246;245;246
4280;262;261;260;261;261;261;253;249;258;249
4367;255;254;254;254;254;308;269;266;267;267
4456;277;292;272;272;272;271;259;259;259;259
4546;270;270;269;269;269;269;269;269;403;270
4638;292;291;291;290;296;309;291;290;290;290
4732;313;313;313;312;316;312;313;312;313;430
4828;353;355;336;334;335;335;350;337;335;335
4926;342;343;341;342;344;342;342;341;341;347
5026;349;349;350;349;348;348;351;349;359;349
5128;356;357;356;356;356;355;355;358;373;357
5232;387;410;381;381;381;388;462;381;380;380
5338;394;395;395;395;395;395;394;394;394;394
5446;415;415;415;415;427;414;414;414;414;415
5557;448;447;478;447;449;448;447;448;448;447
5670;480;483;476;477;477;476;476;475;496;475
5785;487;486;486;486;486;486;486;487;495;485
5903;496;496;566;514;497;521;502;496;495;495
6023;513;512;511;526;526;512;512;580;512;512
6145;523;523;523;522;524;522;522;522;523;523
6270;541;691;566;558;540;540;563;541;547;540
6397;566;565;565;577;565;566;565;565;565;566
6527;585;584;584;584;584;584;584;666;668;609
6660;626;636;658;651;611;612;611;766;611;611
6795;821;662;662;661;662;661;662;661;662;672
6933;684;682;884;693;685;682;684;683;684;683
7074;707;705;705;704;708;711;710;705;704;704
7218;720;719;719;720;719;820;741;722;735;719
7365;751;751;750;750;750;750;840;751;750;762
7515;783;782;782;783;783;783;781;1040;784;782
7668;848;815;815;815;815;816;815;897;816;816
7824;851;860;850;850;850;849;862;1020;851;850
7983;877;907;876;876;876;875;876;877;876;876
8145;903;916;902;902;902;906;1015;938;904;902
8311;930;1047;930;931;930;1503;1494;1507;1521;1499
8480;979;1084;991;995;977;990;977;977;993;977
8653;1078;1023;1017;1017;1017;1017;1017;1024;1017;1172
8829;1063;1061;1057;1058;1057;1057;1069;1148;1057;1056
9009;1090;1089;1094;1089;1089;1272;1141;1096;1089;1089
9192;1112;1112;1111;1195;1111;1111;1111;1111;1111;1111
9379;1156;1221;1171;1156;1154;1156;1155;1154;1154;1159
9570;1235;1222;1221;1222;1222;1222;1481;1254;1222;1222
9765;1281;1279;1280;1453;1279;1312;1279;1279;1316;1309
9964;1448;1318;1336;1316;1316;1327;1316;1373;1316;1316
10167;1378;1378;1378;1379;1389;1383;1378;1389;1377;1377
10374;1466;1419;1417;1419;1417;1417;1427;1634;1456;1438
10585;1498;1493;1493;1577;1528;1539;1527;1535;1528;1529
10801;1624;1560;1559;1560;1593;1625;1561;1560;1581;1595
11021;1653;1786;1704;1618;1626;1653;1656;1721;1653;1692
11245;1720;1649;1649;1817;1652;1649;1649;1650;1649;1776
11474;1684;1684;1683;1684;1782;1838;1687;1683;1683;1683
11708;1841;1766;1757;1797;1799;1917;1841;1840;1838;1839
11946;1947;1906;1908;1906;1884;1880;1909;1906;1905;1906
12189;2001;2039;2001;2003;2003;2004;2010;2001;2003;2000
12437;2279;2759;2780;3426;3086;3468;3185;3387;2238;2158
12690;2074;2506;2042;2042;2092;2044;2044;2042;2061;2043
12948;2300;2148;2146;2145;2145;2179;2145;2145;2145;2145
13212;2396;2251;2250;2255;2330;2252;2207;2206;2205;2455
13481;2280;2278;2278;2390;2350;2278;2277;2279;2416;2362
13756;2372;2373;2411;2378;2371;2385;2464;2383;2412;2383
14036;2437;2436;2454;2452;2436;2598;2445;2457;2435;2515
14322;2551;2585;2552;2717;2658;2679;2606;2734;2669;2668
14614;2729;2795;2769;2734;2888;2791;2791;2792;2917;2793
14912;2803;2811;2903;2866;2867;2839;2867;2865;2865;2937
15216;2924;2858;2925;2991;2923;2923;2976;2926;2924;2924
15526;3340;3118;3112;3171;3112;3113;3111;3127;3114;3111
15842;3229;3173;3233;3289;3232;3231;3233;3231;3231;3231
16165;3462;3354;3362;3406;3352;3356;3454;3354;3354;3356
16494;3494;3330;3348;3327;3328;3333;3386;3325;3326;3426
16830;3497;3488;3567;3488;3487;3631;3488;3488;3536;3582
17173;3580;3749;3680;3671;3763;3737;3706;3948;3641;3577
17523;3733;3711;3693;3820;3704;3776;3818;3835;3862;3891
17880;3954;4070;4005;4009;4084;3983;4007;4013;4005;4003
18244;3979;3925;4008;3926;3924;4066;3926;3954;3980;3926
18616;4051;4160;4047;4163;4059;4055;4223;4097;4047;4132
18995;4272;4341;4276;4258;4764;4261;4258;4282;4307;4292
19382;4368;4382;4477;4376;4404;4365;4369;4471;4382;4455
19777;4584;4588;4611;4581;4649;4570;4592;4625;4583;4825
